,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
34,"Preço de vacinas: R$100 cada Pfizer, R$50 cada Coronavac, R$25 cada AstraZeneca. Qual vale mais a pena?  Tanto faz! O preço que governo paga por cada dose de vacina Covid é irrelevante. Não é exagero, é análise custo-benefício. Segue o fio que eu explico 👇",256,1353942455872352256,2021-01-26 05:46:51,Twitter Web App,3954,680,"Brasil, SP",,
35,a globo furou a fila da vacina pra imunizar 6 participantes e ninguem falando sobre isso 🤮🤮,91,1353887234894815240,2021-01-26 02:07:25,Twitter for iPhone,18606,1358,"Boa Vista, Roraima",,
36,"Caso 1: a velha imprensa noticiou que o Brasil seria um dos últimos países a receber as doses da vacina de Oxford vindas da Índia. Durante dias, inventaram mentiras adicionais e criticaram o governo. Na prática, o Brasil foi o primeiro país do mundo a receber as doses da vacina.",279,1353894554009788416,2021-01-26 02:36:30,Twitter for Android,4651,810,"Brasília, Brasil",,
37,"Os valores são aproximados, mas mesmo assim assustadores.   Duas doses da vacina usada em SP custa aproximadamente 104 reais. Isso é o suficiente pra imunizar 1 pessoa.",168,1354055309216645121,2021-01-26 13:15:17,Twitter for iPhone,14332,759,,,
38,"Estudo clínico em Israel mostra que de 128.600 pessoas vacinadas com a vacina da Pfizer, apenas vinte foram infectadas. Nenhuma hospitalizada.  Lembrando que Bolsonaro ignorou a chance de comprar 70 milhões de doses dessa vacina. Mas temos um estoque de 18 anos de cloroquina.",276,1354026173953683458,2021-01-26 11:19:31,Twitter Web App,3292,356,,,
39,"Absurdo! Bolsonaro autorizou que empresas comprem lotes de vacina para uso privado, sem que tenhamos concluído a vacinação dos grupos prioritários. Isso é furar fila. E é pior ainda porque estamos vendo a pequena quantidade de vacina disponível no SUS.",252,1354054819724587011,2021-01-26 13:13:20,Twitter Web App,2418,451,"Niterói, Brasil",,
40,Enfermeira bolsonarista que debochou da vacina é demitida https://t.co/eAbKAzILwb,81,1353842796185137152,2021-01-25 23:10:50,Twitter Web App,2598,354,"Sao Paulo, Brazil",,
41,"Hj temos uma grande plenária de organização das lutas populares. Lideranças e organizações de diversos setores da sociedade discutirão um calendário de lutas unificado pra garantir vacina, renda e tirar Bolsonaro",212,1354028442719834113,2021-01-26 11:28:32,Twitter for iPhone,1360,274,Curitiba - Brasil,,
42,"Estados sem oxigênio, leitos e doses suficientes de vacina. Enquanto isso, o Governo Federal faz farra c/ dinheiro público:  💸 R$ 32 milhões em pizza e refrigerantes  💸 R$ 2 milhões em goma de mascar 💸 R$ 123 milhões entre picolés, sorvetes e coberturas   A crise tem CULPADOS!",277,1353873012756537345,2021-01-26 01:10:54,Twitter for iPhone,2370,547,"Amapá, Brasil",,
43,"Bolsonaro agora diz ter sido o “responsável” por conseguir os insumos para uma vacina que, segundo ele, não tem comprovação científica para combater um vírus que causa uma gripezinha em uma pandemia que é uma fantasia que mataria menos de 800 pessoas.  E tem trouxa que acredita.",279,1353861325382938624,2021-01-26 00:24:28,Twitter for iPhone,1840,346,,,
44,"Mas não é bom empresas doarem vacinas ao SUS? Claro que é bom. O problema é ser só metade, pois serão mais de 8 milhões de não prioritários recebendo a vacina antes de prioritários que aguardam na fila do SUS. Se essas doses estão disponíveis, o governo tem obrigação de comprar.",279,1353975856281120768,2021-01-26 07:59:34,Twitter for Android,2839,326,Brasil 🇧🇷 | France 🇫🇷,,
45,É inacreditável que o Governo Federal queira reivindicar para si o mérito de trazer ao Brasil as 10 milhões de doses da vacina Coronavac. Realmente não possuem nenhum limite para a desfaçatez e mentira.,202,1353836652054065152,2021-01-25 22:46:25,Twitter Web App,3009,288,"Brasil, SP",,
46,"Manuela Cantuaria: Com hino da vacina, MC Fioti fez mais pela saúde do Brasil do que Pazuello e Bolsonaro https://t.co/B0Dh0GgJ2t",129,1353835660235452416,2021-01-25 22:42:29,Twitter Web App,884,84,"São Paulo, Brasil",,
47,A Oceania sempre esteve em guerra contra a Lestásia e o governo federal brasileiro sempre apoiou a vacina chinesa.  Só não sabe disso quem é desinformado.,154,1353838445504815109,2021-01-25 22:53:33,Twitter for Android,945,100,"São Paulo, Brasil",,
48,O costume de chamar médico e advogado de doutor vem do Brasil colônia e de um decreto de Pedro I publicado em 1827. Hoje a vacina é de RNA e a IA vai extinguir a especialização em radiologia. É preciso humildade e mente aberta para lidar com o novo mundo.,255,1353840899042783233,2021-01-25 23:03:18,Twitter for iPhone,473,40,"Rio de Janeiro, Brazil",,
