,Tweets,len,ID,Date,Source,Likes,RTs,User Location,Geo,Coordinates
0,"O Futuro Burger 2030, segundo a empresa, tem menos gordura e sódio e um sabor ainda mais próximo do hambúrguer convencional https://t.co/bKhe78Ntti",147,1356371817988907008,2021-02-01 22:40:16,Socialbakers,65,5,São Paulo,,
1,• Desafio ISSO ou AQUILO •  • Desafio ISSO ou AQUILO •  frio x calor dia x noite doce x salgado  pizza x hambúrguer  filme x série  casa x sair balada x Netflix   Respondam com a TAG: JUNTOS COM PROJOTA  não usem emoji ou números!  RT E FAV para ESPALHAR FAMÍLIA,262,1353866852829683713,2021-01-26 00:46:26,Twitter for iPhone,295,103,São Paulo,,
2,QUARTO DESAFIO   ISSO OU AQUILO   HAMBÚRGUER X PIZZA SUCO X REFRIGERANTE  BRIGADEIRO X BEIJINHO  MASSA X JAPONÊS   Usando a tag: VIIHTUBE NO BBB,144,1354231172516225026,2021-01-27 00:54:06,Twitter Web App,149,44,,,
3,DESAFIO  ISSO OU AQUILO   HAMBURGUER X PIZZA SUCO X REFRIGERANTE  BRIGADEIRO X BEIJINHO  MASSA X JAPONÊS   Usando a tag: BONDE DA VIIH,134,1354233296050413574,2021-01-27 01:02:32,Twitter for iPhone,174,57,,,
4,thiago pediu 2 hambúrgueres e qdo terminei de comer o meu falei q tava morrendo de fome ainda (e de fato tava) na esperança dele me oferecer o dele.. kkkk old que o v1ad0 GUARDOU o hamburguer pra comer outra hora mas n me deu..🥲,228,1353805532218478592,2021-01-25 20:42:46,Twitter for iPhone,1850,19,"São Paulo, Brasil",,
